,Opposition,Distance,HSR,Sprint,Accelerations,Decelerations,Jumps,match_id,season_name,team,opposition_team,goals_scored,goals_conceded,np_xg,np_xg_conceded,shots,shots_on_target,opposition_shots,opposition_shots_on_target,passes,opposition_passes,completed_passes_into_the_box,pressures,pressure_regains,fouls,tackles,yellow_cards,xg_within_8_seconds_of_corner,xg_conceded_within_8_seconds_of_corner,shots_within_8_seconds_of_corner,shots_conceded_within_8_seconds_of_corner,goals_within_8_seconds_of_corner,goals_conceded_within_8_seconds_of_corner,xg_within_8_seconds_of_indirect_free_kick,xg_conceded_within_8_seconds_of_indirect_free_kick,shots_within_8_seconds_of_indirect_free_kick,shots_conceded_within_8_seconds_of_indirect_free_kick,goals_within_8_seconds_of_indirect_free_kick,goals_conceded_within_8_seconds_of_indirect_free_kick,possession,final_third_possession,ppda,completed_passes_and_carries_into_final_third,match_outcome,date,monte_carlo_win_prob,monte_carlo_draw_prob,monte_carlo_loss_prob,location,lineup
0,MK Dons,,,,,,,,2021,Coventry City,MK Dons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/09/2020,,,,away,[]
1,Bristol,110778.68,7095.44,1315.26,280,405,50,3764253,2021,Coventry City,Bristol City,1,2,1.0371815,1.211497,16,4,11,6,494,453,3,105,21,12,17,1,0.2829822,0.208277,3,1,0,1,0.0528201,0,1,0,0,0,52,58,9.285714286,43,lost,12/09/2020,0.2878,0.2962,0.416,away,"[{'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 69.95}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 97.4}, {'player_id': 7847, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9276, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing', 'minutes_played': 27.8}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 97.4}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 97.4}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 97.4}, {'player_id': 10781, 'squad_role': 'Substitution - On (Injury)', 'position': 'Left Center Midfield', 'minutes_played': 74.7667}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 63.2333}, {'player_id': 15811, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 22.85}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 97.4}, {'player_id': 29363, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Midfield', 'minutes_played': 34.3667}, {'player_id': 29397, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 97.4}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 97.4}, {'player_id': 35241, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 97.4}, {'player_id': 47311, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
2,Gillingham,,,,,,,,2021,Coventry City,Gillingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/09/2020,,,,away,[]
3,QPR,111807.25,7601.8,1511.42,293,404,33,3764258,2021,Coventry City,Queens Park Rangers,3,2,1.11655912,0.3247102,12,5,7,4,364,604,4,142,23,12,14,1,0.4999487,0.1614238,4,3,1,1,0,0,0,0,0,0,38,41,20.83333333,38,won,18/09/2020,0.3171,0.3402,0.3427,home,"[{'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 94.0333}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 94.0333}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 94.0333}, {'player_id': 9276, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 94.0333}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 94.0333}, {'player_id': 10018, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 94.0333}, {'player_id': 10781, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 90.35}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 94.0333}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 94.0333}, {'player_id': 29363, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 3.8}, {'player_id': 29397, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 94.0333}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 94.0333}, {'player_id': 35241, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 47311, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
4,Barnsley,106883.57,7861.21,1346.77,323,454,36,3766905,2021,Coventry City,Barnsley,0,0,0.7049881,1.0980465,11,0,13,2,515,452,8,149,35,20,19,2,0.3667864,0.0436127,5,1,0,0,0,0.183897,0,1,0,0,53,45,7.5,35,draw,26/09/2020,0.2182,0.3205,0.4613,away,"[{'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 70.6167}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 94.5167}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 94.5167}, {'player_id': 9276, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing', 'minutes_played': 23.9}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 94.5167}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 94.5167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 94.5167}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 24.2333}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 94.5167}, {'player_id': 22361, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 94.5167}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 70.2833}, {'player_id': 29397, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 94.5167}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 94.5167}, {'player_id': 35241, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 47311, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
5,Bournemouth,107688.76,6426.17,1194.79,293,444,27,3766686,2021,Coventry City,AFC Bournemouth,1,3,0.24970933,3.0096841,4,1,20,8,412,693,5,156,32,14,17,1,0,0.2341778,0,5,0,0,0.146004,0,1,0,0,0,37,31,18.45833333,30,lost,02/10/2020,0.0439,0.141,0.8151,home,"[{'player_id': 3355, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Attacking Midfield', 'minutes_played': 48.9833}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.95}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 95.95}, {'player_id': 9276, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 95.95}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 95.95}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.95}, {'player_id': 10781, 'squad_role': 'Starting XI', 'position': 'Left Attacking Midfield', 'minutes_played': 46.9667}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 69.8333}, {'player_id': 15811, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 22361, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing Back', 'minutes_played': 7.7}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Attacking Midfield', 'minutes_played': 95.95}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 95.95}, {'player_id': 29397, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 88.6}, {'player_id': 29407, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Back', 'minutes_played': 48.9833}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 46.9667}, {'player_id': 47311, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
6,Brentford,108822.82,7609.69,1349.91,289,429,32,3766676,2021,Coventry City,Brentford,0,2,1.0243048,2.17007264,10,5,17,6,429,565,10,115,23,7,18,1,0.3672998,0.4134853,3,5,0,0,0.160778,0,1,0,0,0,43,49,16.82608696,38,lost,17/10/2020,0.1323,0.2075,0.6602,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 97.8333}, {'player_id': 3743, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 61.9333}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 97.8333}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 97.8333}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 97.8333}, {'player_id': 10026, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 97.8333}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 35.9}, {'player_id': 15491, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15811, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 22361, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 35.6667}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 97.8333}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 97.8333}, {'player_id': 29397, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 97.8333}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 97.8333}, {'player_id': 31088, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 35241, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 62.1667}]"
7,Swansea,106667.48,6948.39,1102.19,324,398,37,3767044,2021,Coventry City,Swansea City,1,1,0.8226174,0.5263728,9,2,6,3,484,486,10,160,38,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,50,43,11.57142857,39,draw,20/10/2020,0.3953,0.3937,0.211,home,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 99.1833}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 99.1833}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 99.1833}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 99.1833}, {'player_id': 10026, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 99.1833}, {'player_id': 10781, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 69.7167}, {'player_id': 15491, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15811, 'squad_role': 'Substitution - On (Injury)', 'position': 'Left Wing', 'minutes_played': 30.4333}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 83.55}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 99.1833}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 99.1833}, {'player_id': 29397, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 99.1833}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 99.1833}, {'player_id': 31088, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 35241, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 15.6333}]"
8,Blackburn,105020.22,6048.97,995.59,242,406,24,3766890,2021,Coventry City,Blackburn Rovers,0,4,0.2630498,3.0654079,3,1,23,8,389,730,5,171,24,11,12,1,0,0.0838438,0,2,0,0,0,0.0683324,0,1,0,0,35,26,25.38888889,32,lost,24/10/2020,0.0021,0.021,0.9769,home,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 95.55}, {'player_id': 3743, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.55}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 62.55}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 95.55}, {'player_id': 10026, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Forward', 'minutes_played': 33.5833}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.55}, {'player_id': 15491, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing', 'minutes_played': 16.9333}, {'player_id': 15811, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 95.55}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 62.55}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 78.8}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 95.55}, {'player_id': 29397, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 95.55}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 13.4167}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 31088, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 35241, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 33.3667}]"
9,Middlesbrough,107157.07,8046.31,1505.42,313,435,46,3767068,2021,Coventry City,Middlesbrough,0,2,0.1082192,1.88250399,3,1,17,5,405,469,5,182,16,10,27,1,0,0,0,0,0,0,0,0,0,0,0,0,46,22,10.58823529,30,lost,27/10/2020,0.0044,0.0626,0.933,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 79.7667}, {'player_id': 4365, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 97.1833}, {'player_id': 7847, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing Back', 'minutes_played': 27.0333}, {'player_id': 9276, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing', 'minutes_played': 18.0667}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 97.1833}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 97.1833}, {'player_id': 10026, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 97.1833}, {'player_id': 10781, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 79.7667}, {'player_id': 13268, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 97.1833}, {'player_id': 15811, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 22361, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 97.1833}, {'player_id': 23399, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing', 'minutes_played': 17.9167}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 97.1833}, {'player_id': 29397, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 70.5833}, {'player_id': 31088, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 97.1833}]"
